listing_url,name,host_id,host_name,neighbourhood,latitude,longitude,property_type,room_type,accommodates,price,minimum_nights,number_of_reviews,license,host_lcount
https://www.airbnb.com/rooms/8469941,Apartamento amplio y luminoso,44604616,Miguel,Salamanca,40.42467,-3.67037,Entire rental unit,Entire home/apt,4,139,3,91,False,1
https://www.airbnb.com/rooms/8470935,BEAUTIFUL&BRIGHT&UNIQUE APARTMENT AT RASTRO,4615520,Mahdrid Apartments,Centro,40.40785,-3.70728,Entire rental unit,Entire home/apt,2,79,3,200,False,25
https://www.airbnb.com/rooms/8482861,Nice room in the centre of Madrid,2249606,J-M Isabel,Arganzuela,40.40208,-3.70841,Private room in rental unit,Private room,2,100,8,16,False,1
https://www.airbnb.com/rooms/8883924,3 Luxury apartment /center/wifi/aa,4292037,Miguel,Centro,40.42411,-3.70264,Entire rental unit,Entire home/apt,2,73,2,260,False,5
https://www.airbnb.com/rooms/8886389,Mauricio Ferro,44720161,Mauricio,Chamartín,40.4411,-3.67858,Private room in rental unit,Private room,2,35,1,1,False,1
https://www.airbnb.com/rooms/8893602,Cool & Trendy Madrid Centre,43940819,Diego,Centro,40.42461,-3.70549,Entire rental unit,Entire home/apt,4,177,13,61,False,2
https://www.airbnb.com/rooms/8492578,Una habitación luminosa,14269367,Irene,Fuencarral - El Pardo,40.48597,-3.73396,Private room in rental unit,Private room,1,30,90,0,False,1
https://www.airbnb.com/rooms/8894850,Antiguo convento Lavapies. 6 pax.,46533685,Alicia  Y Juan,Centro,40.40947,-3.70522,Entire vacation home,Entire home/apt,6,292,3,142,False,2
https://www.airbnb.com/rooms/8895075,Chic apartment in the heart of Chueca,42748420,Chris,Centro,40.4231,-3.6963,Entire rental unit,Entire home/apt,4,85,5,237,False,1
https://www.airbnb.com/rooms/8511887,HABITACION EN PISO CÉNTRICO,5113561,Estela,Chamberí,40.42927,-3.69167,Private room in home,Private room,1,36,12,8,False,1
https://www.airbnb.com/rooms/8895105,I L❤️VE  MADRID GRAN VÍA - VELVET,46104888,Germán,Centro,40.420803,-3.704309,Entire loft,Entire home/apt,2,74,2,268,True,3
https://www.airbnb.com/rooms/8517585,COSY & CHARMING / next to IFEMA - Free parking,17979672,Manuel,Hortaleza,40.45411,-3.61186,Entire rental unit,Entire home/apt,5,115,1,171,False,2
https://www.airbnb.com/rooms/8902683,Room and bathroom in Bravo Murillo,46567593,David,Tetuán,40.45385,-3.70343,Private room in rental unit,Private room,1,24,1,17,False,1
https://www.airbnb.com/rooms/8519462,precioso flat Opera best location,4835230,Teresa,Centro,40.41784,-3.70888,Entire condo,Entire home/apt,4,120,360,3,False,1
https://www.airbnb.com/rooms/8520533,Best central location Opera,44860676,Julia Y Mª Teresa,Centro,40.41955,-3.70915,Entire rental unit,Entire home/apt,5,150,14,9,False,1
https://www.airbnb.com/rooms/8904822,Incredible View! Plaza Colón,7597002,Isabel,Chamberí,40.42625,-3.69175,Entire condo,Entire home/apt,2,47,20,74,False,1
https://www.airbnb.com/rooms/8528953,LOFT IN THE  HEART OF MADRID,31608532,Cesar,Centro,40.42328,-3.70661,Entire loft,Entire home/apt,4,102,6,40,False,2
https://www.airbnb.com/rooms/8530533,★STAYCATION★ Salamanca - Loft with Design,596469,Gabriel Avalos,Salamanca,40.42255,-3.6662,Entire rental unit,Entire home/apt,4,197,5,23,False,26
https://www.airbnb.com/rooms/8914957,Piso confortable 4 pax 15min centro,46624167,Pedro Pablo,Puente de Vallecas,40.38005,-3.65491,Entire condo,Entire home/apt,4,57,2,85,False,1
https://www.airbnb.com/rooms/8915060,A 10' del centro de Madrid,46623913,Gloria María,San Blas - Canillejas,40.4197,-3.61808,Entire rental unit,Entire home/apt,4,163,2,6,False,1
https://www.airbnb.com/rooms/8536053,Bright Loft 100m2 in the center,44939562,Michelle,Centro,40.40832,-3.70185,Entire loft,Entire home/apt,4,80,3,24,False,2
https://www.airbnb.com/rooms/8928899,SPACIOUS FLAT IN THE CITY CENTRE,44902886,Angel,Centro,40.40832,-3.70798,Private room in rental unit,Private room,2,31,1,15,False,1
https://www.airbnb.com/rooms/8931977,"Luxury Villa  18 people - POOL, WiFi, BBQ, parking",9360920,La Calandria Villa,Fuencarral - El Pardo,40.47564,-3.72707,Entire home,Entire home/apt,16,900,3,67,True,6
https://www.airbnb.com/rooms/8549390,quiet double room in city centre,13471137,Roberto,Centro,40.41246,-3.71135,Private room in rental unit,Private room,2,55,2,14,False,2
